,,30/06/2000,31/07/2000,31/08/2000,30/09/2000,31/10/2000,30/11/2000,31/12/2000,31/01/2001,28/02/2001,31/03/2001,30/04/2001,31/05/2001,30/06/2001,31/07/2001,31/08/2001,30/09/2001,31/10/2001,30/11/2001,31/12/2001,31/01/2002,28/02/2002,31/03/2002,30/04/2002,31/05/2002,30/06/2002,31/07/2002,31/08/2002,30/09/2002,31/10/2002,30/11/2002,31/12/2002,31/01/2003,28/02/2003,31/03/2003,30/04/2003,31/05/2003,30/06/2003,31/07/2003,31/08/2003,30/09/2003,31/10/2003,30/11/2003,31/12/2003,31/01/2004,29/02/2004,31/03/2004,30/04/2004,31/05/2004,30/06/2004,31/07/2004,31/08/2004,30/09/2004,31/10/2004,30/11/2004,31/12/2004,31/01/2005,28/02/2005,31/03/2005,30/04/2005,31/05/2005,30/06/2005,31/07/2005,31/08/2005,30/09/2005,31/10/2005,30/11/2005,31/12/2005,31/01/2006,28/02/2006,31/03/2006,30/04/2006,31/05/2006,30/06/2006,31/07/2006,31/08/2006,30/09/2006,31/10/2006,30/11/2006,31/12/2006,31/01/2007,28/02/2007,31/03/2007,30/04/2007,31/05/2007,30/06/2007,31/07/2007,31/08/2007,30/09/2007,31/10/2007,30/11/2007,31/12/2007,31/01/2008,29/02/2008,31/03/2008,30/04/2008,31/05/2008,30/06/2008,31/07/2008,31/08/2008,30/09/2008,31/10/2008,30/11/2008,31/12/2008,31/01/2009,28/02/2009,31/03/2009,30/04/2009,31/05/2009,30/06/2009,31/07/2009,31/08/2009,30/09/2009,31/10/2009,30/11/2009,31/12/2009,31/01/2010,28/02/2010,31/03/2010,30/04/2010,31/05/2010,30/06/2010,31/07/2010,31/08/2010,30/09/2010,31/10/2010,30/11/2010,31/12/2010,31/01/2011,28/02/2011,31/03/2011,30/04/2011,31/05/2011,30/06/2011,31/07/2011,31/08/2011,30/09/2011,31/10/2011,30/11/2011,31/12/2011,31/01/2012,29/02/2012,31/03/2012,30/04/2012,31/05/2012,30/06/2012,31/07/2012,31/08/2012,30/09/2012,31/10/2012,30/11/2012,31/12/2012,31/01/2013,28/02/2013,31/03/2013,30/04/2013,31/05/2013,30/06/2013,31/07/2013,31/08/2013,30/09/2013,31/10/2013,30/11/2013,31/12/2013,31/01/2014,28/02/2014,31/03/2014,30/04/2014,31/05/2014,30/06/2014,31/07/2014,31/08/2014,30/09/2014,31/10/2014,30/11/2014,31/12/2014,31/01/2015,28/02/2015,31/03/2015,30/04/2015,31/05/2015,30/06/2015,31/07/2015,31/08/2015,30/09/2015,31/10/2015,30/11/2015,31/12/2015,31/01/2016,29/02/2016,31/03/2016,30/04/2016,31/05/2016,30/06/2016,31/07/2016,31/08/2016,30/09/2016,31/10/2016,30/11/2016,31/12/2016,31/01/2017,28/02/2017,31/03/2017,30/04/2017,31/05/2017,30/06/2017,31/07/2017,31/08/2017,30/09/2017,31/10/2017,30/11/2017,31/12/2017,31/01/2018,28/02/2018,31/03/2018,30/04/2018,31/05/2018,30/06/2018,31/07/2018,31/08/2018,30/09/2018,31/10/2018,30/11/2018,31/12/2018,31/01/2019,28/02/2019,31/03/2019,30/04/2019,31/05/2019,30/06/2019,31/07/2019,31/08/2019,30/09/2019,31/10/2019,30/11/2019,31/12/2019,31/01/2020,29/02/2020,31/03/2020,30/04/2020,31/05/2020,30/06/2020,31/07/2020,31/08/2020,30/09/2020,31/10/2020,30/11/2020,31/12/2020,31/01/2021,28/02/2021,31/03/2021,30/04/2021,31/05/2021,30/06/2021,31/07/2021,31/08/2021,30/09/2021,31/10/2021,30/11/2021,31/12/2021,31/01/2022,28/02/2022,31/03/2022,30/04/2022,31/05/2022,30/06/2022,31/07/2022,31/08/2022,30/09/2022,31/10/2022
A G D Mining Ltd,AGZ,-45.94595,85,-16.21622,-19.35484,24,-19.35484,-8,-4.34783,0,-81.81818,25,0,-20,100,12.5,0,22.22222,14.37091,-8.33333,-9.09091,0,0,-10,0,0,-11.11111,-25,33.33333,0,-12.5,28.57143,0,11.11111,-20,-12.5,-28.57143,0,20,-16.66667,40,-14.28571,-10.70834,0,-9.82,-16.66667,-4.44445,-13.95349,-24.32432,-3.57143,40.74074,21.05263,-17.3913,18.42105,2.22222,-4.34783,0,4.54546,0,-8.69565,0,-11.90476,2.7027,7.89474,21.95122,2,9.80392,-10.71429,8,1.85185,16.36364,9.375,-12.85714,6.55738,-1.53846,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.C.N 004 410 833 Ltd,ARI,-3.59712,11.19403,-11.4094,-9.84849,-22.68908,-1.08696,4.39561,0,-9.47368,4.41861,11.75115,-6.18557,1.0989,14.13043,-2.28571,-8.38207,10.65934,6.25621,3.17757,16.93841,13.55538,0.46248,-6.25,-5.18519,2.34375,12.21374,12.2449,-0.90909,-2.5,5.12821,9.7561,2.22222,-7.6087,1.76471,1.78571,1.16959,10.98266,2.60417,0,11.67513,3.73832,-15.31532,7.44681,-9.90099,14.83517,15.311,-4.66102,-0.44444,11.16071,6.82731,9.02256,7.24138,-13.48684,-6.08365,4.04858,7.7821,-0.36101,-3.98551,-15.83012,15.59633,5.15873,3.01887,17.21612,21.40625,-7.61155,2.27273,-6.94445,12.23881,2.65958,8.54922,-3.64078,-9.06801,12.74238,-4.1769,11.79487,-1.40845,0.2381,4.75059,6.12245,1.06838,6.13108,4.38247,10.85271,15.38461,-2.57576,4.35459,-9.68704,15.59406,-0.28986,-3.48837,-7.37952,7.96748,6.3253,-8.35694,0.31299,12.63651,3.04709,-8.87097,0.88496,-30.77485,-25,-25.50725,-4.28016,-1.21951,-30.04115,35.88235,18.13202,21.07623,-4.44445,15.89147,8.69565,-5.53846,2.31023,-3.22581,11.66667,-7.16418,10.93248,14.49275,-9.48718,-9.34844,-6.875,0.33557,-3.67893,3.81944,-7.84983,-7.40741,3.6,5.01931,1.47059,-9.62963,-12.70492,-11.50235,-1.85676,-4.59459,-15.01416,-14.66667,-0.80645,-32.92683,-15.15152,5.71429,43.24324,19.81132,5.24194,-19.15709,-18.00948,-16.76301,-10.41667,-10.85271,44.0367,4.4586,10.97561,4.94506,25.65445,-25.83333,-2.29885,-5.29412,-3.10559,27.5641,13.06533,11.11111,13.52459,13.71841,11.11111,-11.14286,-0.64309,-8.73786,-11.85185,-23.94958,-12.1547,3.77359,-4.84849,-42.68645,-8.21918,-28.35821,-10.41667,-4.65116,7.31707,-22.72727,2.94118,0,-22.85714,-11.11111,-8.33333,-20.90909,14.94253,-21,-26.58228,15.51724,-73.13433,22.22222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2B Australia Ltd,A2B,5.47264,24.0566,-4.94297,8,6.48148,2.4735,0,7.58621,0.96154,-3.49206,6.66667,10.9375,3.66197,-6.25,5.7971,-11.23288,-3.125,-3.22581,-0.66667,4.02685,0,3.22581,-1.58228,-10.93248,-1.80505,4.04412,6.00707,3.66667,1.63934,2.58065,-3.45912,-2.60586,-3.01003,1.72414,-0.34483,0.69204,1.37457,-2.37288,3.81944,2.00669,2.34899,1.63934,1.29032,4.4586,0.91463,2.26586,-0.60241,-1.51515,5.84615,6.97674,-1.08696,0.89286,6.94445,4.93507,3.21782,1.91847,6.58824,5.51876,-8.51064,4.88372,-0.22173,7.77778,18.5567,6.6087,-0.66225,6.66667,6.25,-7.05882,3.79747,2.7439,-3.76506,-2.9734,2.58065,-2.20126,20.57878,8.66667,4.73815,7.7381,2.76243,7.84946,0.2991,7.35587,9.20188,14.10146,-6.48078,-0.16116,-19.77401,2.31388,5.98802,3.57815,-3.54546,-12.44109,3.55221,3.3264,-8.29069,0.22321,-8.68597,-6.09756,-10.12987,1.01156,0.43988,-7.88321,0.63391,-3.46457,-10.60359,13.32117,11.09272,-5.81222,-18.35443,-0.3876,14.78599,-0.67797,3.69069,0.67797,1.17845,-5.49085,-2.11268,6.29496,4.52962,-13,-1.53257,-12.45136,6.88889,18.50312,3.61664,-3.31588,5.41516,-2.91096,-1.94004,1.07914,-0.9058,-4.93602,-0.96154,-3.8835,-6.26263,-1.72414,-3.44037,5.93824,0.44843,1.11607,25.16556,9.34744,6.13599,-0.9375,-21.13565,12.2,-0.71301,1.43627,8.22669,-34.62838,13.17829,12.32877,-2.23577,-1.2474,4.59519,-16.31799,0.75,7.44417,-4.38799,-7.72947,8.91892,-1.73697,0.75758,-4.01003,13.05483,-3.00231,-4.19753,4.38144,-0.24691,14.35644,16.88312,2.96296,-9.52381,-3.4413,-4.19287,-4.814,17.47126,-7.24071,-2.37069,9.05077,-25.91093,-8.74317,-6.58683,-0.96154,-5.68562,-2.83688,8.75912,4.36242,-4.82315,12.83784,-0.61728,1.86335,-2.7439,24.13793,-18.18182,8.64198,5.26316,2.5,5.14905,-5.92784,4.38356,2.88714,-12.91391,-1.90114,-1.93798,-13.83399,-4.12844,-8.37321,-8.53995,1.20482,16.07143,-1.02564,-6.73575,1.11111,3.93258,14.05405,13.74408,-2.08333,-2.55319,0.87336,-9.2511,6.79612,0,-6.81818,4.39024,0,-4.76191,-11,-0.8427,1.41643,-15.0838,-0.65789,7.82313,-0.94637,-4.4586,-2,-16.66667,-44.4898,23.4375,-3.16456,5.88235,9.25926,1.12994,21.78771,-5.50459,36.8932,-14.89362,-4.16667,-0.86957,5.26316,6.66667,2.34375,-3.81679,5.55556,-1.8797,2.68199,-0.74627,3.00752,-2.91971,-9.77444,5.41667,11.85771,-10.60071,-15.81028,3.28639,5.45455,2.58621,-2.52101,-0.43103
AAT Corp Ltd,AAT,4.81928,19.54023,-9.61539,1.06383,-1.05263,-8.60215,-5.88235,0,20,-1.04167,0,23.40425,3.62069,-26.78868,-26.13636,-35.38462,14.28571,-2.12766,2.17391,23.40425,-3.44828,-10.71429,4,-11.53846,-10.86957,-9.7561,13.51351,-4.76191,5,-9.52381,-7.89474,0,5.71429,-8.10811,-5.88235,3.125,21.21212,12.5,11.11111,18,5.08475,-1.6129,-3.27869,5.17241,-3.27869,-10.16949,9.43396,-25.86207,20.93023,-17.30769,4.65116,-4.44445,2.32558,-9.09091,-7.5,-8.10811,0,0,0,0,3.0303,-2.94118,-6.06061,-22.58064,-25,16.66667,4.76191,-9.09091,15,0,4.34783,-12.5,-17.14286,-10.34483,0,12.82051,1.13636,-10.11236,5,13.09524,-3.1579,-2.17391,-3.33333,-2.29885,1.17647,4.65116,-3.33333,-5.74713,-8.53659,-13.33333,6.15385,0,-13.04348,-8.33333,-10.90909,-12.2449,-37.2093,-25.92593,50,-16.66667,0,20,-30,4.76191,-54.54546,0,50,46.66667,4.54546,-13.04348,0,0,0,-25,13.33333,0,-23.52941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academies Australasia Group Ltd,AKG,-9.90099,8.79121,3.0303,-11.76471,-8.88889,0,-13.75,-7.24638,-12.5,-8.92857,-24,-27.63158,-27.27273,75,-40,0,2.38095,34.88372,3.44828,50,0,-37.77778,-10.71429,-28,5.55556,21.05263,0,8.69565,8,29.62963,11.42857,-34.61538,-5.88235,-25,0,0,11.11111,45,0,-37.93103,27.77778,-28.26087,21.21212,0,-20,0,-37.5,20,33.33333,0,-18.75,11.53846,-6.89655,0,-14.81481,8.69565,-8,-21.73913,0,33.33333,-25,0,0,0,0,-27.77778,23.07692,0,0,0,0,0,0,0,12.5,0,22.22222,-13.63636,0,0,5.26316,-1,1.0101,70,-5.88235,0,0,15.625,11.11111,100,0,0,15,11.11111,0,0,0,-24,18.42105,1.11111,-10.11236,-12.5,14.28571,-10,-8.33333,3.125,-33.33333,59.09091,-14.28571,16.66667,17.14286,9.7561,23.25581,-9.43396,-20.83333,-18.42105,19.35484,0,25,-17.77778,2.7027,0,-3.94737,4.10959,25,-2.22222,11.36364,2.04082,4,2,0,7.84314,0,0,0,3.63636,-7.27273,17.64706,0,0,3.33333,0,-25,2.22222,0,6.52174,42.85714,17.85714,0,-12.5,-2.85714,-5.88235,5.46875,7.40741,-1.42857,15.94203,-2.5,7.69231,14.28571,1.5625,5.26316,10,-10,1.0101,-2,1.53061,1.03093,12.2449,20,5.30303,-1.07914,-6.18182,-13.49206,6.42202,-1.72414,4.38597,-45.79832,18.60465,1.33333,3.94737,-16.4557,-16.66667,-29.09091,-7.69231,11.83506,-19.73684,4.91803,-3.125,-19.35484,-20,-17.5,30.30303,9.30233,8.51064,-27.45098,-8.10811,1.17647,-4.06977,-3.0303,15.625,8.10811,-20,21.875,-26.57343,37.03704,2.7027,60.52632,11.47541,13.23529,7.89474,34.14634,-18.18182,6.66667,1.07527,-7.44681,-1.14943,-12.7907,4,-15.38461,27.27273,5.95238,3.44828,2.22222,-14.13043,21.01266,-13.97849,-2.5,-5.12821,16.21622,8.13954,13.97849,28.30189,-0.92647,-13.84615,-3.57143,1.85185,-27.27273,-44.0875,50,-23.80952,-2.08333,2.12766,12.5,5.05556,-5.55556,56.86274,-12.5,7.14286,-17.33333,-8.06452,8.92857,-6.55738,-14.03509,-2.04082,-10.41667,11.62791,8.33333,3.84615,1.85185,-20,18.18182,5.76923,-3.63636,7.54717,-7.01754,26.41509,-13.43284,12.06897,33.84615
Adacel Technologies Ltd,ADA,30.20833,10,-6.54546,-8.56031,-1.2766,6.39629,-13.30395,0,-13.5514,-13.78378,-5.95611,10,-0.60606,-8.53659,-3.33333,-40.68966,19.76744,17.28155,-8.9404,0,-12.72727,-11.45833,11.76471,-1.05263,-9.57447,-8.23529,-5.12821,-10.81081,-18.18182,33.33333,16.66667,-4.76191,-6.25,-4,-6.94445,-13.43284,24.13793,16.66667,15.47619,-21.64948,3.94737,-7.42076,17.58658,-5.81395,-16.04938,-2.94118,-4.54546,-14.28571,-14.81481,8.69565,-28,6.94445,-5.19481,-17.80822,6.66394,25.39683,-11.39241,-5.71429,-6.06061,-9.67742,0,-10.71429,-6,4.25532,10.20408,40.74074,5.26316,30,-15.38461,12.5,3.0303,-18.62745,8.43374,-1.11111,5.61798,8.51064,23.52941,10.31746,-9.35252,12.69841,-15.49296,6.66667,7.8125,17.3913,-4.93827,-28.57143,3.63636,0,14.91228,2.29008,-2.98508,-13.84615,3.57143,-17.24138,-12.5,-3.57143,-22.22222,-11.11111,-5.35714,24.5283,9.09091,-2.77778,14.28571,0,-3.75,12.98701,-8.04598,1.25,22.22222,11.11111,24.54545,-3.64964,-14.39394,0.88496,-6.14035,-12.14953,-6.38298,-18.18182,83.33334,-36.36364,-22.61905,7.69231,-12.85714,-3.27869,22.0339,4.16667,0,-12,-1.51515,-12.30769,-8.77193,-15.38461,-15.90909,54.05405,-29.82456,10,6.81818,14.89362,-11.11111,0,29.16667,12.90323,4.28571,-1.36986,6.94445,0,-19.48052,-9.67742,35.71429,1.31579,-6.49351,-16.66667,16.66667,8.57143,-9.58904,-9.09091,41.66667,-17.64706,-2.85714,35.29412,-6.52174,16.27907,-2,0,-18.36735,-2.5,-8.97436,-26.76056,15.38461,-13.33333,42.30769,-5.40541,-22.85714,-7.40741,0,12,25,0.71429,15.94203,30,20.19231,64.8,-2.91262,-3,54.63918,38,10.62802,-21.17904,8.03324,13.46154,9.09091,8.33333,16.15385,5.62914,-21.63009,24.7,-12.25806,-11.76471,2.5,-3.25203,-2.52101,5.06466,10.33058,-8.2397,-4.08163,14.04255,-0.37313,11.23596,-2.78746,-13.26165,3.71901,-6.3745,-4.25532,-10.66667,-7.03518,-7.56757,-1.16959,1.77515,-8.72093,14.96815,-10.11561,-60.12862,4.83871,41.53846,-15.21739,-11.53846,1.47059,-8.69565,-5.55556,-20.16807,6.31579,-10.89109,0,33.33333,1.66667,-3.27869,16.94915,-41.17647,5,5.95238,-7.86517,37.80488,41.59292,-17.19745,2.30769,18.79699,24.05063,-12.2449,13.66279,-6.31579,2.24719,-1.0989,2.22222,8.69565,26.75,2.42915,1.18577,-12.5,12.5,-15.07936,-9.3458,15.72165,-4.56621,-11.96172,-8.69565,3.57143,-4.88506,-13.20755,0.72464
Adbri Ltd,ABC,8.97436,-7.05882,-3.79747,32.89474,-7.14286,-9.89011,-2.43902,10,-4.54546,-1.19048,32.5,7.54717,17.54386,11.9403,2.66667,-2.5974,16.30137,-3.41578,-8.53659,2.66667,10.38961,5.99246,-8.05234,-1.14447,-7.59494,1.36986,28.37838,-4.73684,20.45455,0.9434,9.3458,0.8547,4.23729,-5.89431,0.88496,-4.38597,11.92661,10.65574,-3.7037,8.26923,-1.44928,-10.29412,22.95082,2,-0.65359,-1.31579,-2,-10.88435,-2.09924,15.2,-2.77778,8.92857,10.73826,2.42424,0.59172,9.41177,-11.82796,5.625,-4.73373,7.45342,8.09249,3.74332,7.2165,12.62019,-7.82609,-3.30189,2.43902,3.80952,18.80734,3.57143,-5.72519,1.21458,2.4,-1.5625,-6.34921,2.11864,7.62712,3.54331,6.84411,-3.55872,21.77122,8.0303,2.33236,3.9886,0.54795,-10.08174,8.78788,11.69916,-6.83544,-2.17391,-3.33333,1.14943,0.85227,-0.42254,1.75953,5.18732,2.73973,-6.66667,3.42857,-12.8453,-26.53722,-12.99559,6.32911,-19.04762,1.47059,18.26087,7.92839,8.53081,-1.74673,10.66667,12.249,1.82482,1.79212,-12.32394,10.44177,-10.18182,-0.80972,8.86076,13.56589,-6.82594,-1.8315,18.28358,6.62461,4.87805,4.06977,-16.20112,10,1.51515,1.9403,-2.42424,-1.86335,-0.31646,-1.90476,-15.21036,9.73282,-5.71429,8.71212,1.0453,-0.34483,2.76817,4.0404,-3.33333,5.17241,-3.60656,8.16327,5.66038,-10.8631,3.08219,5.31562,0.31546,-1.88679,8.65385,7.9646,-0.81967,-3.9548,-2.05882,-0.9009,-0.60606,4.42073,10.14925,4.33604,-1.55844,-3.16623,2.99728,13.75661,-4.06699,-2.49377,-13.81074,2.37389,6.08696,-3.00547,-7.46479,4.6729,2.08333,4.08163,0.28011,19.55307,8.06075,-0.22075,2.87611,-7.31183,9.74478,-4.65116,-0.88692,-3.67816,3.57995,9.447,-0.42105,4.65116,5.45455,1.97239,9.8646,-1.93662,6.10413,-11.16751,7.90476,-3.4296,-4.29907,6.05469,-5.70902,4.88281,8.65922,4.22535,-6.58784,1.80832,-0.17762,2.31317,2.86957,6.51801,3.22061,1.71607,-0.46012,1.38675,-3.03951,3.53698,1.70808,6.10687,-1.00719,-6.39535,-2.01863,-8.25243,-8.64198,-17.56757,4.68384,6.4877,-5.46219,-0.44444,-5.08083,-1.70316,-12.37624,-12.71186,-1.2945,0.98361,13.96104,-1.4245,5.20231,-17.58242,-31,34.29952,-0.3663,16.91176,-30.50315,15.38461,13.62745,-0.70175,9.18728,8.41424,-14.32836,13.24042,7.07692,-5.38793,3.10559,4.51807,2.01729,-3.10735,-4.22741,-7.73994,-3.69128,-1.74216,3.5461,13.0137,-6.06061,-2.9703,-4.08163,-14.1844,4.54546,-12.64822,-14.47964,-14.40217
Adcorp Australia Ltd,AAU,-0.60606,-2.43902,6.875,-5.55556,-5.06329,-16.66667,-18.4,15.68627,1.69492,-38.75,42.85714,-8,-2.17391,-6.66667,19.04762,-15.5,11.11111,-2.22222,2.27273,-2.22222,2.27273,-0.55556,-4.5977,-3.61446,25,10,-1.81818,0.46296,-10.47619,-1.06383,-2.15054,-3.2967,-2.27273,4.65116,-1.14943,3.48837,1.1236,0,11.11111,16,6.19469,-15.83333,12.87129,-3.50877,-2.72727,9.3458,-1.75439,-6.25,4.76191,8.18182,5.04202,-5.2,-2.6087,-4.46429,0,2.80374,0,5.90909,-12.38938,-27.27273,-9.02778,5.34351,4.34783,7.29167,-0.67568,-9.52381,5.26316,-5.71429,-6.06061,-1.6129,-0.86207,-10.43478,-4.85437,24.4898,-4.09836,-9.40171,5,8.57143,-7.01754,18.86792,-19.04762,-10.78431,-11.36364,-19.23077,4.76191,16.66667,-19.48052,-4.83871,-5.08475,41.07143,1.26582,-11.25,22.53521,-6.89655,-2.63158,-1.35135,0,17.80822,8.13954,-11.82796,-16.88312,-6.25,1.66667,-4.91803,-34.48276,26.31579,-4.34783,2.27273,2.22222,13.04348,-3.84615,4,17.30769,-14.7541,-7.69231,-14.58333,-12.19512,8.33333,-7.69231,5.55556,-21.05263,26.66667,0,0,7.89474,4.87805,-4.65116,-2.43902,2.5,7.31707,-21.42857,-6.06061,-12.90323,-3.7037,23.07692,25,-10.52632,2.94118,-2.85714,0,8.82353,2.7027,8.33333,-10.25641,-2.85714,11.76471,15.78947,-26.13636,-29.03226,13.63636,-8,4.34783,25,-23.33333,-8.69565,0,-37.14286,74.24242,-43.47826,15.38461,0,-9.33333,-7.35294,-4.76191,-25,82.22222,-14.63415,-5.71429,-3.0303,-4.6875,-4.91803,-31.03448,2.5,-2.43902,25,2,0,0,-15.68627,-13.95349,-2.7027,13.88889,4.87805,-23.25581,3.0303,-17.64706,-3.57143,0,0,-29.62963,15.78947,-9.09091,-10,11.11111,-15,0,0,-5.88235,0,-50,-37.5,140,50,-38.88889,-18.18182,11.11111,-10,0,0,88.88889,-52.94118,37.5,-18.18182,0,-22.22222,42.85714,-20,62.5,15.38461,-31.14754,11.11111,-10,-22.22222,14.28571,0,-12.5,71.42857,-16.66667,-30,42.85714,-30,42.85714,-10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide Bank Limited,ADB,4.82456,6.48536,-0.78585,0,2.86885,5.37849,-0.75614,6.85714,-2.49554,-9.94516,12.59383,-1.85185,8.49057,6.43478,5.88235,-5.8642,9.69646,5.30361,2.18978,4,1.60714,1.25727,1.90476,-1.2016,-1.48649,-4.93827,8.94661,0,0.13569,-0.1355,1.76391,-2.53333,-2.05198,3.49162,4.13793,4.90066,1.0101,3.75,7.22892,-4.26966,-0.72202,-7.87879,5.6579,3.73599,3.0012,-0.9324,-0.12034,0.48193,-0.59952,3.49819,5.94406,1.76018,3.77778,8.13705,4.05941,3.8059,-0.91659,3.9778,-7.27273,6.86275,5.22936,6.80035,3.5102,4.17981,-3.63777,6.50602,-2.33786,2.3166,1.13208,-1.41791,2.08494,-6.35401,4.84653,-0.38521,5.10441,-3.09051,5.68093,-3.9028,-4.67433,1.52733,5.46318,5.40541,10.18182,-0.92409,1.53231,-0.19685,2.5641,-7.11539,3.82166,-1.70416,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADG Global Supply Ltd,ADQ,-20,11.11111,0,-7.01595,-19.34101,0,-16.66667,-4,8.33333,-47.69231,17.64706,-10,-13.88889,45.16129,-11.11111,10,-20.45455,15.71429,4.93827,17.64706,-1,1.0101,0,-26,-12.16216,7.69231,2.85714,-13.90367,-11.2751,36.36364,-6.66667,41.42857,6.06061,-19.04762,-4.70588,-1.23457,-2.5,5.12821,8.53659,-6.74157,80.72289,-18,10.97561,9.89011,-5,42.10526,0,-4.70588,-7.40741,14.66667,-16.27907,1.38889,2.73973,2.66667,-6.49351,-5.55556,5.69239,72.30769,-8.33333,4.54546,-13.04348,10,-10.60606,1.69492,-5,-5.26316,-3.7037,-5.76923,2.04082,-48,3.84615,3.7037,-10.71429,-8,8.69565,4.27981,4.16667,-4,-8.33333,72.72727,5.89,-5.56238,0,0,0,0,0,0,0,0,0,0,-34.21053,-44,-7.14286,23.07692,-12.5,5.35714,-18.64407,0,-37.5,-33.33333,50,0,-20,-33.33333,8.53725,49.71819,-46.15385,1.42857,1.40845,12.5,11.11111,-5.87796,-25,0,18.33333,-8.45071,10.76923,-22.22222,-1.78571,18.18182,-23.07692,12,8.92857,-1.63934,16.66667,-10,20.63492,-7.89474,0,14.28571,-12.5,21.42857,-23.52941,-7.69231,0,-16.66667,18,1.69492,10,6.06061,7.14286,-6.66667,-18.57143,14.03509,-7.69231,-13.33333,0,0,17.30769,11.47541,-11.76471,-16.66667,-6,-53.19149,-13.63636,-21.05263,6.66667,25,-5,-36.84211,-16.66667,70,-41.17647,10,-9.09091,30,-7.69231,-33.33333,-12.5,0,-14.28571,33.33333,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
